As a little girl, I always imagined I would one day run away.	Als kleines Mädchen stellte ich mir vor, dass ich eines Tages von Zuhause weglaufe.	KitraCahana_2014U-KitraCahana_2014U.de
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	Seit dem sechsten Lebensjahr bewahrte ich eine Tasche mit Kleidung und Konservendosen in meinem Wandschrank auf.	KitraCahana_2014U-KitraCahana_2014U.de
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	In mir war eine tiefe Unruhe, eine Angst, Opfer zu werden, von einem Leben voller Routine und Langeweile.	KitraCahana_2014U-KitraCahana_2014U.de
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Viele meiner frühkindlichen Erinnerungen beinhalteten komplizierte Wachträume, in denen ich Grenzen überschritt, Beeren sammelte und allerlei seltsame Leute traf, die unkonventionelle Leben auf der Straße führten.	KitraCahana_2014U-KitraCahana_2014U.de
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Die Jahre sind vergangen, aber viele meiner Abenteuer, von denen ich als Kind fantasierte — zu reisen; meinen Weg zu erfinden zwischen Welten, anders als der meinen — wurden durch meine Arbeit als Dokumentarfotografin Wirklichkeit.	KitraCahana_2014U-KitraCahana_2014U.de
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Aber keine andere Erfahrung kam meinen Kindheitsfantasien so nah, wie die, wie andere Herumtreiber zu leben und ihr Leben überall in den USA zu dokumentieren.	KitraCahana_2014U-KitraCahana_2014U.de
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	Das ist der Traum vom nomadischen Leben, eine andere Art amerikanischer Traum, gelebt von jungen Landstreichern, Herumreisenden, Trampern, Nichtsesshaften und Vagabunden.	KitraCahana_2014U-KitraCahana_2014U.de
In most of our minds, the vagabond is a creature from the past.	In den meisten Köpfen ist der Vagabund Teil der Vergangenheit.	KitraCahana_2014U-KitraCahana_2014U.de
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	Das Wort "Landstreicher" erinnert an ein Schwarz-Weiß-Foto eines dem Wetter ausgesetzten, verrußten Mannes, der seine Beine aus einem Waggon baumeln lässt. Aber diese Fotos sind in Farbe: Sie porträtieren eine Gemeinschaft, die im Land herumwirbelt, heftig lebendig und schöpferisch frei. Sie sehen das Amerika, das sonst niemand zu sehen bekommt.	KitraCahana_2014U-KitraCahana_2014U.de
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Wie ihre Vorgänger bereisen die heutigen Nomaden die Hauptverkehrsadern der Vereinigten Staaten aus Stahl und Asphalt.	KitraCahana_2014U-KitraCahana_2014U.de
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	Am Tag springen sie auf Güterzüge oder strecken den Daumen raus, und fahren auf der Autobahn mit jedem mit, egal ob Lkw-Fahrer oder nicht berufstätige Mütter.	KitraCahana_2014U-KitraCahana_2014U.de
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	Nachts schlafen sie unter den Sternen, gekauert an ihr Rudel aus Hunden, Katzen und Haustierratten zwischen ihren Körpern.	KitraCahana_2014U-KitraCahana_2014U.de
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Manche Reisende haben sich dieses Leben ausgesucht, verzichten auf Materielles, herkömmliche Arbeit und Uni-Abschlüsse im Tausch gegen einen Hauch von Abenteuer.	KitraCahana_2014U-KitraCahana_2014U.de
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Andere kommen von der Schattenseite der Gesellschaft; sie bekamen sie nie, die Chance zum sozialen Aufstieg: Ausbrecher aus Pflegefamilien, jugendliche Ausreißer auf der Flucht vor Missbrauch und unversöhnlichen Elternhäusern.	KitraCahana_2014U-KitraCahana_2014U.de
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Was andere als Geschichten von Entbehrung und wirtschaftlichem Versagen ansehen, betrachten die Reisenden durch das Prisma der Befreiung und Freiheit.	KitraCahana_2014U-KitraCahana_2014U.de
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	Lieber zehren sie vom Überfluss einer — aus ihrer Sicht — verschwenderischen Konsumgesellschaft, als sich mit einer unrealistischen Chance auf den herkömmlichen "American Dream" abzurackern.	KitraCahana_2014U-KitraCahana_2014U.de
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Sie nutzen die Tatsache aus, dass in den USA bis zu 40 % der Lebensmittel im Abfall landen, in dem sie nach einwandfreien Nahrungsmitteln in Containern und Abfalleimern suchen.	KitraCahana_2014U-KitraCahana_2014U.de
