The universe is teeming with planets.	Visatoje knibždėte knibžda planetos.	O universo está repleto de planetas .	Evren gezegenlerle dolu.	talk_1976_en-en-lt-pt-tr
I want us, in the next decade, to build a space telescope that'll be able to image an Earth about another star and figure out whether it can harbor life.	Norėčiau, kad kitą dešimtmetį sukurtume tokį teleskopą visatai stebėti, kuris leistų parsisiųsti į Žemę vaizdų ir suprasti, ar žvaigždėje yra gyvybės.	Gostaria que , na próxima década , construíssemos um telescópio espacial que conseguisse a imagem de uma Terra na órbita de outra estrela e descobrisse se pode ter vida .	Önümüzdeki 10 yıl içinde, bir başka yıldızın yakınındaki bir Dünya'yı fotoğraflayıp, orada hayat olup olmadığını ortaya çıkarabilecek bir teleskop icat etmemizi istiyorum.	talk_1976_en-en-lt-pt-tr
My colleagues at the NASA Jet Propulsion Laboratory at Princeton and I are working on technology that will be able to do just that in the coming years.	NASA Reaktyvinio judėjimo laboratorija Prinstone ir aš bendradarbiaujame kurdami technologiją, kuri būtent tai ir sugebės atlikti artimiausiais metais.	Eu e os meus colegas no Laboratório de Propulsão a Jacto de_ a NASA , em Princeton , estamos a trabalhar na tecnologia que fará isso mesmo nos próximos anos .	Princeton'daki NASA Jet Propulsion laboratuvarındaki meslektaşlarım ve ben önümüzdeki birkaç sene içinde bunu yapabilecek bir teknoloji üzerinde çalışıyoruz.	talk_1976_en-en-lt-pt-tr
Astronomers now believe that every star in the galaxy has a planet, and they speculate that up to one fifth of them have an Earth-like planet that might be able to harbor life, but we haven't seen any of them.	Šiandien astronomai mano, kad galaktikoje kiekviena žvaigždė turi savo planetą, ir jie spėja, kad penktadalis žvaigždžių turi planetą kaip Žemė, kurioje galbūt yra gyvybės, nors tokių dar nesugebėjome pamatyti.	Os astrónomos acreditam que cada estrela de_ a galáxia tem um planeta , e especulam que até um quinto de_ eles tem um planeta de_ o tipo de_ a Terra que poderá ter vida , mas ainda não vimos nenhum de_ eles .	Astronomlar artık gökadadaki her yıldızın bir gezegeni olduğunu düşünüyorlar. Bunların beşte birinin Dünya benzeri bir gezegene sahip olduklarını, yaşam barındırıyor olabileceklerini tahmin ediyorlar. Ama bunlardan hiçbirini görmüş değiliz.	talk_1976_en-en-lt-pt-tr
We've only detected them indirectly.	Esame aptikę jas tik netiesiogiai.	Apenas os detectámos indirectamente .	Onları sadece dolaylı yollardan saptadık. Bu NASA'nın ünlü "Soluk Mavi Nokta" fotoğrafı.	talk_1976_en-en-lt-pt-tr
This is NASA's famous picture of the pale blue dot.	Štai garsioji NASA blyškiojo mėlynojo taško nuotrauka.	Esta é a famosa imagem de_ a NASA de_ o ponto azul pálido .	Voyager uzay aracı tarafından 1990'da çekildi.	talk_1976_en-en-lt-pt-tr
It was taken by the Voyager spacecraft in 1990, when they turned it around as it was exiting the solar system to take a picture of the Earth from six billion kilometers away.	Ją padarė erdvėlaivis „Voyager“ 1990 m., apsuktas Saulės sistemos pakraštyje, kad padarytų Žemės nuotrauką iš šešių milijardų kilometrų nuotolio.	Foi tirada pela nave Voyager em 1990 , quando a fizeram rodar a_ o sair de_ o sistema solar para tirar uma foto de_ a Terra à distância de seis mil milhões de quilómetros .	Araç güneş sisteminden çıkmak üzereyken, onu bu tarafa çevirip, 6 milyar kilometre öteden Dünya'nın fotoğrafını çektirdiler.	talk_1976_en-en-lt-pt-tr
I want to take that of an Earth-like planet about another star.	Aš noriu padaryti tokią kitos į Žemę panašios planetos ir kitos žvaigždės nuotrauką.	Gostaria de ter uma de um planeta de_ o tipo de_ a Terra na órbita de outra estrela .	Bir başka yıldızın etrafındaki Dünya benzeri bir gezegenin böyle bir fotoğrafını çekmek istiyorum.	talk_1976_en-en-lt-pt-tr
Why haven't we done that?	Kodėl dar to nepadarėme?	Porque ainda não o conseguimos ?	Neden bunu hâlâ yapamadık?	talk_1976_en-en-lt-pt-tr
Why is that hard?	Kodėl tai sudėtinga?	Porque é tão difícil ?	Neden bu kadar zor?	talk_1976_en-en-lt-pt-tr
Well to see, let's imagine we take the Hubble Space Telescope and we turn it around and we move it out to the orbit of Mars.	Kad suprastume, įsivaizduokime „Hubble“ teleskopą apsuktą ir perkeltą į Marso orbitą.	Bem , imaginemos que pegamos no Telescópio Espacial Hubble e o rodamos e o deslocamos para a órbita de Marte .	Bunu anlamak için, Hubble Uzay Teleskobu'nu tutup döndürdüğümüzü ve onu Mars'ın yörüngesine doğru gönderdiğimizi varsayalım.	talk_1976_en-en-lt-pt-tr
We'll see something like that, a slightly blurry picture of the Earth, because we're a fairly small telescope out at the orbit of Mars.	Pamatysime štai ką: šiek tiek išplaukusį Žemės vaizdą, nes esame gan mažas teleskopas iškeltas prie Marso orbitos.	Veríamos algo assim , Uma imagem algo difusa de_ a Terra , porque é um telescópio um pouco pequeno na órbita de Marte .	Göreceğimiz şey şöyle bir şey, Dünya'nın resminin hafifçe bulanık hâli gibi çünkü Mars'ın yörüngesinde oldukça ufak bir teleskobumuz var.	talk_1976_en-en-lt-pt-tr
Now let's move ten times further away.	Dabar nutolkime dar dešimt kartų tiek.	Afastemo -nos dez vezes mais .	Hadi şimdi 10 kat daha uzaklaşalım.	talk_1976_en-en-lt-pt-tr
Here we are at the orbit of Uranus.	Štai esame prie Urano orbitos.	Aqui estamos na órbita de Urano .	İşte Uranüs'ün yörüngesindeyiz.	talk_1976_en-en-lt-pt-tr
It's gotten smaller, it's got less detail, less resolve.	Vaizdas mažesnis, ne toks detalus, ne toks raiškus.	Ficou mais pequena , com menos detalhe , menor resolução .	Küçülüyor, daha az detaya, daha az çözünürlüğe sahip.	talk_1976_en-en-lt-pt-tr
We can still see the little moon, but let's go ten times further away again.	Vis dar matyti mažytis mėnulis, bet vėl nutolkime dar dešimt kartų.	Ainda podemos ver a pequena Lua , mas afastemo -nos de novo dez vezes mais , Estamos no limiar de_ o sistema solar , na Cintura de Kuiper .	Ufacık Ay'ı hâlâ görebiliyoruz. Şimdi bir 10 kat daha ileri gidelim.	talk_1976_en-en-lt-pt-tr
Here we are at the edge of the solar system, out at the Kuiper Belt.	Atsidūrėme Saulės sistemos paribyje, prie Kuiperio juostos.		Artık güneş sisteminin sınırlarında, Kuiper Kuşağı'ndayız.	talk_1976_en-en-lt-pt-tr
Now it's not resolved at all.	Dabar vaizdas visai neraiškus.	Agora não tem qualquer resolução .	Şimdi şeçilmiyor bile.	talk_1976_en-en-lt-pt-tr
It's that pale blue dot of Carl Sagan's.	Štai tas blyškusis mėlynasis Karlo Sagano taškas.	É o ponto azul pálido , de Carl Sagan .	Carl Sagan'ın "Soluk Mavi Nokta"sı işte bu.	talk_1976_en-en-lt-pt-tr
But let's move yet again ten times further away.	Bet nutolkime dar dešimt kartų toliau.	Mas afastemo -nos de novo mais dez vezes .	Ama hadi 10 kat daha uzağa gidelim.	talk_1976_en-en-lt-pt-tr
