As a little girl, I always imagined I would one day run away.	Kai buvau maža, vis įsivaizduodavau, kad vieną dieną pabėgsiu.	Em pequena , sempre imaginei que um dia fugiria .	Küçük bir kız olarak, bir gün kaçan giden biri olmayı hayal ettim.	talk_2009_en-en-lt-pt-tr
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	Nuo tada, kai suėjo šešeri, visuomet turėjau pasiruošusi kuprinę su drabužiais ir paslėpusi konservų skardinių giliai spintoje.	A partir de_ os meus 6 anos , passei a guardar uma mala com roupas e latas de comida escondidas na parte de trás de um roupeiro .	Altı yaşından beri, bazı elbiselerimi davul toplu konserve yiyceklerimi de dolabın arkasında tutuyorum.	talk_2009_en-en-lt-pt-tr
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	Nenustygau vietoje, bijojau, kad tapsiu rutinos ir nuobodulio grobiu.	Sentia uma profunda inquietação , um medo primordial de que seria vítima de uma vida de rotina e aborrecimento .	İçimde derin bir rahatsızlık var hayatın tek düzeliğine ve sıkkınlığa kurban düşeceğime dair ilkel bir korku.	talk_2009_en-en-lt-pt-tr
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Todėl daugumoje mano vaikystės prisiminimų įvairūs užsisvajojimai, kuriuose aš kertu sienas, ieškau uogų, sutinku visokiausius keistuolius - nesuvaržytus, gyvenančius kelyje.	Por isso , muitas de_ as minhas primeiras memórias envolviam sonhar acordada e de forma elaborada onde passaria fronteiras , a recolher bagas e a conhecer todo o tipo de pessoas estranhas , com vidas fora de_ o convencional , pela estrada fora .	Ve bu yüzden çocukluk dönemi hatıralarımın çoğu sınırlarda yürüyüp, çilek peşinde koştuğum ve farklı farklı insanlarla karşılaştığım yollarda sıradışı bir hayat sürdüğüm karma karışık hayallerdi.	talk_2009_en-en-lt-pt-tr
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Metai bėgo, tačiau dauguma nuotykių, apie kuriuos svajojau būdama maža - keliauti ir kloti savo kelią tarp kitų pasaulių, ne tik mano vienos - tapo realybe, kai tapau dokumentikos fotografe.	Os anos passaram , mas muitas de_ as aventuras que fantasiava em criança , a viajar e a tecer o meu caminho entre mundos para além de_ o meu próprio , tornaram -se realidade através de_ o meu trabalho como fotógrafa documental .	Yıllar geçti, ama çocuk olarak hayalini kurduğum birçok macera -- benim dünyam dışındaki dünyalar arasında seyahat ederken ve yoluma dokunurken -- bir belgesel fotorafçısı olarak işim aracıyla bunlar gerçek oldu.	talk_2009_en-en-lt-pt-tr
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Bet joks kitas potyris nebuvo toks artimas mano vaikystės svajonėms, kaip kad gyvenimas kartu su keliautojais sutiktais JAV ir jų kasdienybės fotografavimas.	Mas nenhuma outra experiência senti como tão fiel a_ os meus sonhos de infância , de_ o que viver entre companheiros errantes por_ os Estados Unidos e documentar as suas vidas .	Ama hiçbir başka deneyim çocukluk rüyalarımı yaşayanlar arasında olmak kadar ve Birleşik Devlet boyunca gezgin arkadaşların arasında yasamak kadar gerçek hissettirmedi.	talk_2009_en-en-lt-pt-tr
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	Tai klajokliška svajonė, kitokia amerikietiška svajonė, kurią pasirenka jauni benamiai, keliautojai, tranzuotojai, bastūnai ir valkatos.	Este é o sonho nómada , um tipo diferente de sonho americano vivido por jovens trabalhadores migratórios , viajantes , pedintes de boleia , vadios e vagabundos .	Bu bir göçebe hayali Amerikan rüyasının bir başka türü genç rençperlerin, gezginler, otostopçuların ve serseriler yaşadığı...	talk_2009_en-en-lt-pt-tr
In most of our minds, the vagabond is a creature from the past.	Dauguma galvojame, kad bastūnas - praeities sutvėrimas.	Na maioria de_ as nossas mentes , o vagabundo é uma criatura de_ o passado .	Birçoğumuzun aklınızda, aylaklar-serseriler geçmişten gelen canavarlar.	talk_2009_en-en-lt-pt-tr
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	Žodis "klajoklis" vaizduotėje nupiešia seną juodai baltą vaizdą, kuriame pajuodęs nuo anglies, nugairintu veidu vyriškis, tabaluojantis kojomis sėdėdamas vagone, tačiau šios nuotraukos spalvotos, jos parodo per visą šalį klajojančią bendruomenę - be galo gyvybingą ir kūrybiškai laisvą, matančią tas Amerikos dalis, kurių niekas kitas nemato.	A palavra " vagabundo " evoca uma velha imagem a preto e branco , de um homem velho coberto com carvão , pernas para fora de uma carruagem de mercadorias . Mas estas fotos são a cor e retratam uma comunidade que percorre todo o país , ferozmente viva e criativamente livre , observando lados de_ a América que mais ninguém consegue ver .	 "Gezici rençper" kelimesi bacakları vagondan sarkan kömürle kaplı yıpranmış yaşlı bir adamı çağrıştırıyor. ama bu fotoraflar renkli ve onlar ülke çapında fırıl fırıl dönen, oldukça canlı ve yaratıcı bir şekilde özgür, Amerikan'ın kimsenin görmediği taraflarını gören bir topluluğu tanımlıyor.	talk_2009_en-en-lt-pt-tr
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Kaip ir jų pirmtakai, dabartiniai klajokliai keliauja geležinėmis ir betoninėmis JAV arterijomis.	Tal como os seus antecessores , os nómadas de hoje viajam pelas estradas de aço e asfalto de_ os Estados Unidos .	Onların öncelleri gibi, bugünün göçebeleri Birleşik Devletler'in çelik ve asfalt arterlerinde seyahat ediyorlar.	talk_2009_en-en-lt-pt-tr
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	Dienomis jie įšoka į krovininius traukinius, pakelia nykštį ir važiuoja su tuo, kas pasitaiko - nuo sunkvežimių vairuotojų iki paprastų moteriškių.	De dia , saltam para comboios de mercadorias , levantam os polegares e andam por_ os caminhos com qualquer um , desde camionistas a mães de futebol .	Gün başlarken, yük trenlerinden atılıyorlar baş parmaklarını kaldırıyorlar ve kamyonculardan futbolcu annelerine kim gelirse onlarla yolculuk ediyorlar.	talk_2009_en-en-lt-pt-tr
