As a little girl, I always imagined I would one day run away.	De niña, siempre imaginé que un día escaparía de casa.	KitraCahana_2014U-KitraCahana_2014U.es
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	A partir de los 6 años, tuve una maleta llena de ropa y latas de comida guardada al fondo de un armario.	KitraCahana_2014U-KitraCahana_2014U.es
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	Sentía una inquietud, un temor primitivo de ser víctima de la rutina y el aburrimiento.	KitraCahana_2014U-KitraCahana_2014U.es
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Por eso, muchos de mis primeros recuerdos son de sueños de cruzar fronteras, buscar bayas, y conocer a gente extraña con vidas inusuales de vagabundo.	KitraCahana_2014U-KitraCahana_2014U.es
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Años después, las aventuras sobre las que fantaseaba de niña, de viajar y desplazarme entre mundos distintos al mío, se hicieron realidad por medio de la fotografía documental.	KitraCahana_2014U-KitraCahana_2014U.es
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Ninguna otra experiencia ha cumplido los sueños de mi infancia como convivir y documentar las vidas de vagabundos estadounidenses.	KitraCahana_2014U-KitraCahana_2014U.es
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	Este es el sueño nómada, otro sueño estadounidense que experimentan los desamparados, viajeros, autoestopistas, vagabundos y nómadas.	KitraCahana_2014U-KitraCahana_2014U.es
In most of our minds, the vagabond is a creature from the past.	En nuestras mentes, el vagabundo es una criatura del pasado.	KitraCahana_2014U-KitraCahana_2014U.es
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	Nos hace pensar a blanco y negro sobre un anciano abrigado y cansado, en un vagón de tren, pero estas fotografías a color representan una comunidad que se desplaza por el país, ferozmente viva y creativamente libre, con vistas de EE.UU. que otros no ven.	KitraCahana_2014U-KitraCahana_2014U.es
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Como antes, los nómadas de la actualidad fluyen dentro de las arterias de acero y asfalto de Estados Unidos.	KitraCahana_2014U-KitraCahana_2014U.es
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	De día, saltan vagones de tren, sacan el pulgar, y viajan con cualquiera, desde camioneros hasta madres de familia.	KitraCahana_2014U-KitraCahana_2014U.es
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	De noche, duermen juntos bajo las estrellas, con sus manadas de perros, gatos, y ratas entre sí.	KitraCahana_2014U-KitraCahana_2014U.es
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Algunos eligen viajar y renuncian al materialismo, el empleo, y la educación por un poco de aventura.	KitraCahana_2014U-KitraCahana_2014U.es
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Otros proceden del margen de la sociedad, sin oportunidades para avanzar: desertores de la adopción, adolescentes que huyen del abuso y de hogares crueles.	KitraCahana_2014U-KitraCahana_2014U.es
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Aunque otros ven historias de carencia y fracaso económico, ellos perciben sus vidas por el prisma de la liberación y la libertad.	KitraCahana_2014U-KitraCahana_2014U.es
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	Preferirían vivir de los excesos de una sociedad consumidora que consideran derrochadora que esclavizarse por un sueño estadounidense improbable.	KitraCahana_2014U-KitraCahana_2014U.es
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Se aprovechan de que en Estados Unidos el 40 % de los alimentos termina en la basura y encuentran productos agrícolas de buena calidad en basureros y botes de basura.	KitraCahana_2014U-KitraCahana_2014U.es
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Sacrifican la comodidad material por el tiempo y el espacio para explorar el interior creativo, para soñar, leer, y crear música, arte y literatura.	KitraCahana_2014U-KitraCahana_2014U.es
But there are many aspects to this life that are far from idyllic.	Pero este estilo de vida no siempre es color de rosa.	KitraCahana_2014U-KitraCahana_2014U.es
No one loses their inner demons by taking to the road.	Nadie pierde sus demonios en la vida de vagabundo.	KitraCahana_2014U-KitraCahana_2014U.es
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	La adicción es real, la naturaleza es real, los trenes mutilan y matan, y en las calles hay testigos de la larga lista de leyes que criminaliza la existencia nómada.	KitraCahana_2014U-KitraCahana_2014U.es
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	¿Sabían que en muchas ciudades de Estados Unidos es ilegal sentarse en la acera, taparse con una cobija, dormir en el coche, u ofrecerle comida a un extraño?	KitraCahana_2014U-KitraCahana_2014U.es
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Conozco estas leyes porque he visto como multan y encarcelan a mis amigos y a otros viajeros por cometer estos supuestos crímenes.	KitraCahana_2014U-KitraCahana_2014U.es
Many of you might be wondering why anyone would choose a life like this, under the thumb of discriminatory laws, eating out of trash cans, sleeping under bridges, picking up seasonal jobs here and there.	Muchos de Uds. se preguntan por qué alguien querría vivir así, oprimidos por leyes discriminatorias, comiendo de la basura, durmiendo bajo puentes, y trabajando de vez en cuando.	KitraCahana_2014U-KitraCahana_2014U.es
The answer to such a question is as varied as the people that take to the road, but travelers often respond with a single word: freedom.	La respuesta es tan diversa como la misma comunidad de viajeros, pero ellos siempre responden con una sola palabra: "libertad".	KitraCahana_2014U-KitraCahana_2014U.es
Until we live in a society where every human is assured dignity in their labor so that they can work to live well, not only work to survive, there will always be an element of those who seek the open road as a means of escape, of liberation and, of course, of rebellion.	A menos de que la sociedad se asegure de que cada persona pueda tener un trabajo digno para poder vivir bien, no solo sobrevivir, siempre existirán aquellos que verán las calles como un medio de escape, de liberación y de rebelión.	KitraCahana_2014U-KitraCahana_2014U.es
Thank you.	Gracias.	KitraCahana_2014U-KitraCahana_2014U.es
(Applause)	(Aplausos)	KitraCahana_2014U-KitraCahana_2014U.es
