As a little girl, I always imagined I would one day run away.	Jako dziewczynka wyobrażałam sobie, że pewnego dnia ucieknę.	KitraCahana_2014U-KitraCahana_2014U.pl
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	Odkąd skończyłam 6 lat, miałam spakowany plecak z ciuchami i puszki z jedzeniem schowane na dnie szafy.	KitraCahana_2014U-KitraCahana_2014U.pl
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	Był we mnie głęboki niepokój, lęk, że padnę ofiarą życia w rutynie i nudzie.	KitraCahana_2014U-KitraCahana_2014U.pl
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Dużo moich wspomnień z dzieciństwa zawiera zawiłe sny na jawie, w których przemierzam granice poszukując leśnych owoców i poznaję dziwnych ludzi prowadzących niekonwencjonalny, koczowniczy styl życia.	KitraCahana_2014U-KitraCahana_2014U.pl
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Lata minęły, a wiele przygód, o których śniłam jako dziecko, podróżując i snując się pomiędzy światami innymi od mojego, zostało zrealizowanych dzięki mojej pracy dokumentalistki.	KitraCahana_2014U-KitraCahana_2014U.pl
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Żadne inne doświadczenie nie było tak podobne do moich marzeń z dzieciństwa, jak dokumentowanie stylu życia włóczęgów w Stanach Zjednoczonych.	KitraCahana_2014U-KitraCahana_2014U.pl
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	To jest właśnie sen wędrowców, inna wersja amerykańskiego snu, sposób życia młodych bezdomnych, podróżników, autostopowiczów, włóczęgów i kloszardów.	KitraCahana_2014U-KitraCahana_2014U.pl
In most of our minds, the vagabond is a creature from the past.	Dla większości z nas postać wędrowca jest reliktem przeszłości.	KitraCahana_2014U-KitraCahana_2014U.pl
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	Wyraz "włóczęga" przywołuje na myśl starą, biało-czarną fotografię postarzałego mężczyzny pokrytego węglem, z nogami zwisającymi z brzegu wagonu, ale te zdjęcia są w kolorze, przedstawiają społeczność rozpowszechnioną w całym kraju, nieustannie aktywną i kreatywnie wolną, obserwującą oblicza Ameryki, jakich nikt inny nie ma okazji zobaczyć.	KitraCahana_2014U-KitraCahana_2014U.pl
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Podobnie jak ich przodkowie, współcześni wędrowcy podążają stalowymi i asfaltowymi ścieżkami Stanów Zjednoczonych.	KitraCahana_2014U-KitraCahana_2014U.pl
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	W dzień zeskakują z pociągów towarowych, wystawiają uniesione kciuki i przemierzają autostrady z kim bądź, od kierowców ciężarówek do matek z dziećmi.	KitraCahana_2014U-KitraCahana_2014U.pl
