As a little girl, I always imagined I would one day run away.	Quando eu era pequena, sempre imaginei que um dia eu fugiria.	KitraCahana_2014U-KitraCahana_2014U.pt-br
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	A partir dos seis anos eu mantinha um saco com algumas roupas e latas de comida escondido no fundo de um armário.	KitraCahana_2014U-KitraCahana_2014U.pt-br
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	Havia em mim uma profunda inquietação, um medo primordial de cair em uma vida de rotina e tédio.	KitraCahana_2014U-KitraCahana_2014U.pt-br
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Muitas das minhas memórias de infância envolvem devaneios de que eu cruzaria fronteiras, colheria frutos silvestres, e encontraria todo tipo de estranhos vivendo vidas não convencionais na estrada.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Anos se passaram, mas muitas das aventuras que eu fantasiei quando era criança, viajando e tecendo meu caminho entre outros mundos além do meu, tornaram-se realidade através do meu trabalho como fotógrafa documental.	KitraCahana_2014U-KitraCahana_2014U.pt-br
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Mas nenhuma outra experiência foi tão fiel aos meus sonhos de criança quanto viver junto e documentar as vidas de companheiros errantes nos Estados Unidos.	KitraCahana_2014U-KitraCahana_2014U.pt-br
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	Este é o sonho nômade, um tipo diferente de sonho americano vivido por jovens vagabundos, viajantes, caroneiros, vagantes e errantes.	KitraCahana_2014U-KitraCahana_2014U.pt-br
In most of our minds, the vagabond is a creature from the past.	Nas mentes da maioria de nós o vagabundo é uma criatura do passado.	KitraCahana_2014U-KitraCahana_2014U.pt-br
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	A palavra vagabundo evoca uma velha imagem preta e branca de um velho homem encharcado, coberto de carvão, pernas balançando para fora de um vagão de carga, mas essas fotos são coloridas, e elas retratam uma comunidade rodando pelo país ferozmente viva e livremente criativa, vendo lados da América que ninguém mais consegue ver.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Tal como seus antecessores, os nômades de hoje viajam pelas artérias de aço e asfalto dos Estados Unidos.	KitraCahana_2014U-KitraCahana_2014U.pt-br
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	De dia, eles param os trens de carga, levantam o polegar e viajam pelas rodovias com qualquer um, de caminhoneiros às mães de aprendizes de futebol.	KitraCahana_2014U-KitraCahana_2014U.pt-br
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	À noite, dormem sob as estrelas amontoados com suas matilhas de cães, gatos e ratos de estimação entre seus corpos.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Alguns viajantes pegam a estrada por opção, renunciando ao materialismo, aos empregos tradicionais e diplomas, em troca de um lampejo de aventura.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Outros vêm do baixo-ventre da sociedade, nunca tiveram a chance de subirem: abandono de orfanatos, adolescentes fugitivos que escapam do abuso e de lares implacáveis​​.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Onde os outros veem histórias de privação e fracasso financeiro, viajantes veem a sua própria existência através do prisma da libertação e da liberdade.	KitraCahana_2014U-KitraCahana_2014U.pt-br
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	Eles preferem viver sem o excesso do que eles veem como uma sociedade de consumo perdulário, do que se escravizarem por uma chance irreal do tradicional sonho americano.	KitraCahana_2014U-KitraCahana_2014U.pt-br
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Eles se aproveitam do fato de de que nos Estados Unidos até 40% de toda a comida acabam no lixo, coletando alimentos perfeitamente bons em lixeiras e latas de lixo.	KitraCahana_2014U-KitraCahana_2014U.pt-br
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Eles sacrificam confortos materiais em troca do espaço e do tempo para explorar um interior criativo, para sonhar, ler, trabalhar com música, arte e escrita.	KitraCahana_2014U-KitraCahana_2014U.pt-br
But there are many aspects to this life that are far from idyllic.	Mas há muitos aspectos desta vida que estão longe do idílico.	KitraCahana_2014U-KitraCahana_2014U.pt-br
No one loses their inner demons by taking to the road.	Ninguém se livra de seus demônios interiores só por pegar a estrada.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	O vício é real, os elementos são reais, trens de carga mutilam e matam, e qualquer um que tenha vivido nas ruas pode atestar a lista exaustiva de leis que criminalizam a existência dos desabrigados.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	Quem aqui sabe que em muitas cidades em todo os Estados Unidos, agora é ilegal sentar-se na calçada, enrolar-se em um cobertor, dormir no próprio carro, oferecer comida a um estranho?	KitraCahana_2014U-KitraCahana_2014U.pt-br
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Eu sei sobre essas leis porque eu vi como meus amigos e outros viajantes foram levados para a cadeia ou receberam advertências por cometerem esses supostos crimes.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Many of you might be wondering why anyone would choose a life like this, under the thumb of discriminatory laws, eating out of trash cans, sleeping under bridges, picking up seasonal jobs here and there.	Vocês podem se perguntar por que alguém escolheria uma vida como esta, sob o jugo de leis discriminatórias comendo de latas de lixo, dormindo sob pontes, pegando empregos sazonais aqui e ali.	KitraCahana_2014U-KitraCahana_2014U.pt-br
The answer to such a question is as varied as the people that take to the road, but travelers often respond with a single word: freedom.	A resposta a essa pergunta é tão variada quanto as pessoas que pegam a estrada, mas os viajantes costumam respondê-la com uma única palavra: liberdade.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Until we live in a society where every human is assured dignity in their labor so that they can work to live well, not only work to survive, there will always be an element of those who seek the open road as a means of escape, of liberation and, of course, of rebellion.	Até que vivamos em uma sociedade onde cada ser humano tenha a garantia de um trabalho digno para que trabalhemos para viver bem e não apenas para sobreviver, sempre haverá um desses elementos procurando a estrada como um meio de fuga, de libertação e, é claro, de rebeldia.	KitraCahana_2014U-KitraCahana_2014U.pt-br
Thank you.	Obrigada.	KitraCahana_2014U-KitraCahana_2014U.pt-br
(Applause)	(Aplausos)	KitraCahana_2014U-KitraCahana_2014U.pt-br
