As a little girl, I always imagined I would one day run away.	В детстве я часто представляла, что однажды сбегу далеко-далеко.	KitraCahana_2014U-KitraCahana_2014U.ru
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	С шести лет я прятала сумку с вещами и банками с едой глубоко в чулане.	KitraCahana_2014U-KitraCahana_2014U.ru
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	Глубоко во мне сидело беспокойство, животный страх, что я паду жертвой рутинной и скучной жизни.	KitraCahana_2014U-KitraCahana_2014U.ru
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Потому многие из моих воспоминаний включают замысловатые мечтания о том, как я пересекаю границы, ем ягоды, в качестве пищи, и встречаю всех этих странных людей, ведущих нетрадиционный образ жизни в дороге.	KitraCahana_2014U-KitraCahana_2014U.ru
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Прошли годы, и многие приключения, о которых я фантазировала ребёнком — путешествия и прокладывание пути сквозь миры, отличающиеся от моего — стали реальными, благодаря моей работе фотографа-документалиста.	KitraCahana_2014U-KitraCahana_2014U.ru
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Но ничто не чувствовалось столь близким к моим детским мечтам, как документировать жизни и жить среди странников по Соединённым Штатам.	KitraCahana_2014U-KitraCahana_2014U.ru
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	Это «бродячая мечта» — разновидность американской мечты, — которой жили хобо, путешественники, автостопщики, бродяги и бездомные.	KitraCahana_2014U-KitraCahana_2014U.ru
In most of our minds, the vagabond is a creature from the past.	В уме многих из нас бродяга — существо из прошлого.	KitraCahana_2014U-KitraCahana_2014U.ru
	Слово «хобо» вызывает в воображении старое чёрно-белое изображение повидавшего виды старика, всего в саже, ноги свешаны из вагона.	KitraCahana_2014U-KitraCahana_2014U.ru
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	Но вот эти фото в цвете, и они рисуют портрет общества, клубящегося по всей стране, яростно живого и творчески свободного, видевшего стороны Америки, не изведанные другими.	KitraCahana_2014U-KitraCahana_2014U.ru
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Как и их предшественники, современные бродяги странствуют по металлическим и асфальтированным артериям Соединённых Штатов.	KitraCahana_2014U-KitraCahana_2014U.ru
