As a little girl, I always imagined I would one day run away.	Küçük bir kız olarak, bir gün kaçan giden biri olmayı hayal ettim.	KitraCahana_2014U-KitraCahana_2014U.tr
From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet.	Altı yaşından beri, bazı elbiselerimi davul toplu konserve yiyceklerimi de dolabın arkasında tutuyorum.	KitraCahana_2014U-KitraCahana_2014U.tr
There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom.	İçimde derin bir rahatsızlık var hayatın tek düzeliğine ve sıkkınlığa kurban düşeceğime dair ilkel bir korku.	KitraCahana_2014U-KitraCahana_2014U.tr
And so, many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road.	Ve bu yüzden çocukluk dönemi hatıralarımın çoğu sınırlarda yürüyüp, çilek peşinde koştuğum ve farklı farklı insanlarla karşılaştığım yollarda sıradışı bir hayat sürdüğüm karma karışık hayallerdi.	KitraCahana_2014U-KitraCahana_2014U.tr
Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer.	Yıllar geçti, ama çocuk olarak hayalini kurduğum birçok macera — benim dünyam dışındaki dünyalar arasında seyahat ederken ve yoluma dokunurken — bir belgesel fotorafçısı olarak işim aracıyla bunlar gerçek oldu.	KitraCahana_2014U-KitraCahana_2014U.tr
But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States.	Ama hiçbir başka deneyim çocukluk rüyalarımı yaşayanlar arasında olmak kadar ve Birleşik Devlet boyunca gezgin arkadaşların arasında yasamak kadar gerçek hissettirmedi.	KitraCahana_2014U-KitraCahana_2014U.tr
This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers, vagrants and tramps.	Bu bir göçebe hayali Amerikan rüyasının bir başka türü genç rençperlerin, gezginler, otostopçuların ve serseriler yaşadığı...	KitraCahana_2014U-KitraCahana_2014U.tr
In most of our minds, the vagabond is a creature from the past.	Birçoğumuzun aklınızda, aylaklar-serseriler geçmişten gelen canavarlar.	KitraCahana_2014U-KitraCahana_2014U.tr
The word "hobo" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar, but these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see.	 "Gezici rençper" kelimesi bacakları vagondan sarkan kömürle kaplı yıpranmış yaşlı bir adamı çağrıştırıyor. ama bu fotoraflar renkli ve onlar ülke çapında fırıl fırıl dönen, oldukça canlı ve yaratıcı bir şekilde özgür, Amerikan'ın kimsenin görmediği taraflarını gören bir topluluğu tanımlıyor.	KitraCahana_2014U-KitraCahana_2014U.tr
Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States.	Onların öncelleri gibi, bugünün göçebeleri Birleşik Devletler'in çelik ve asfalt arterlerinde seyahat ediyorlar.	KitraCahana_2014U-KitraCahana_2014U.tr
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	Gün başlarken, yük trenlerinden atılıyorlar baş parmaklarını kaldırıyorlar ve kamyonculardan futbolcu annelerine kim gelirse onlarla yolculuk ediyorlar.	KitraCahana_2014U-KitraCahana_2014U.tr
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	Akşam, yıldızların altında birlikte köpeklerine, kedilerine ve evcil farelerine sokularak uyuyorlar.	KitraCahana_2014U-KitraCahana_2014U.tr
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Yolları tercih eden bazı gezginler maddeciliği, geleneksel işleri ve üniversite derecelerini bir maceranın zayıf ışığına tercih ediyor.	KitraCahana_2014U-KitraCahana_2014U.tr
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Ama diğer toplumun alt kesimlerinden gelenlerin yukarlara doğru tırmanmaya şanşı yok: evlatlık olup bakıcılardan kaçanlar, kaçan ergenler, tacize uğrayanlar ve evinden atılalar.	KitraCahana_2014U-KitraCahana_2014U.tr
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Diğerlerinin ekonomik başarısızlık ve yokluk gördüğü yerde, gezginler liberalizm ve özgürlük prizmasından kendi var oluşlarını görüyorlar.	KitraCahana_2014U-KitraCahana_2014U.tr
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	boşa giden ve tüketici bir toplum olarak gördüklerinin aşırılılıklarındansa geleneksel Amerikan rüyasında gerçek dışı bir şansla çok çalışarak yaşıyorlar.	KitraCahana_2014U-KitraCahana_2014U.tr
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Birleşik Devletler'de yiyeceklerin yüzde 40'nın sonunun çöpte bittiği gerçeğinden yola çıkarak çöplüklerin ve çöp tenekelerinin karıştırıp yiyecek toplamak için mükemmel bir üretim yeri olduğudur.	KitraCahana_2014U-KitraCahana_2014U.tr
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Nesnel rahatlığı yer ve zaman karşılığında içsel bir yaratıcılığı keşfetmek için, hayal kurmak, okumak, müzik, sanat ve edebiyatta çalışmak için feda ediyorlar	KitraCahana_2014U-KitraCahana_2014U.tr
But there are many aspects to this life that are far from idyllic.	Ama bir çok açıdan bu hayat cennet gibi sessiz bir yaşantıdan uzak.	KitraCahana_2014U-KitraCahana_2014U.tr
No one loses their inner demons by taking to the road.	Hiç kimse yollara düşerek kendi içindeki şeytanından kurtulamıyor.	KitraCahana_2014U-KitraCahana_2014U.tr
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	Bağımlılık gerçek, doğa şartları gerçek, yük trenleri öldürüyor ve sakatlıyor ve sokaklarda yaşayan her hangi biri bunu onaylayabilir yorucu yasalar listesi evsiz insanları suçlu hala getiriyor.	KitraCahana_2014U-KitraCahana_2014U.tr
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	Burada kim Birleşik Devletler'de birçok şehirde yol kenarına battaniyeye sarılı oturmanın yaşadışı oldupunu biliyor. veya arabanızda uyumanın, veya yabancılara yiyecek önermenin?	KitraCahana_2014U-KitraCahana_2014U.tr
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Bu kanunları biliyorum çünkü bir kaç arkadaşın ve diğer gezginlerin şuç denen bu şeylerden dolayı hapishaneye götürüldüğünü veya uyarı aldığına şahit oldum.	KitraCahana_2014U-KitraCahana_2014U.tr
